Country Name,Country Code,Indicator Name,2010
Aruba,ABW,"Life expectancy at birth, total (years)",75.404
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",58.4111497501441
Afghanistan,AFG,"Life expectancy at birth, total (years)",60.851
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",54.550169165108
Angola,AGO,"Life expectancy at birth, total (years)",56.726
Albania,ALB,"Life expectancy at birth, total (years)",77.936
Andorra,AND,"Life expectancy at birth, total (years)",
Arab World,ARB,"Life expectancy at birth, total (years)",70.0412535714543
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",78.334
Argentina,ARG,"Life expectancy at birth, total (years)",75.721
Armenia,ARM,"Life expectancy at birth, total (years)",73.16
American Samoa,ASM,"Life expectancy at birth, total (years)",
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",76.82
Australia,AUS,"Life expectancy at birth, total (years)",81.6951219512195
Austria,AUT,"Life expectancy at birth, total (years)",80.5804878048781
Azerbaijan,AZE,"Life expectancy at birth, total (years)",69.529
Burundi,BDI,"Life expectancy at birth, total (years)",57.081
Belgium,BEL,"Life expectancy at birth, total (years)",80.1829268292683
Benin,BEN,"Life expectancy at birth, total (years)",58.363
Burkina Faso,BFA,"Life expectancy at birth, total (years)",56.477
Bangladesh,BGD,"Life expectancy at birth, total (years)",68.638
Bulgaria,BGR,"Life expectancy at birth, total (years)",73.5121951219512
Bahrain,BHR,"Life expectancy at birth, total (years)",78.748
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",72.731
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",77.073
Belarus,BLR,"Life expectancy at birth, total (years)",70.4048780487805
Belize,BLZ,"Life expectancy at birth, total (years)",72.272
Bermuda,BMU,"Life expectancy at birth, total (years)",79.2885365853658
Bolivia,BOL,"Life expectancy at birth, total (years)",66.162
Brazil,BRA,"Life expectancy at birth, total (years)",73.182
Barbados,BRB,"Life expectancy at birth, total (years)",75.712
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",74.849
Bhutan,BTN,"Life expectancy at birth, total (years)",68.43
Botswana,BWA,"Life expectancy at birth, total (years)",60.013
Central African Republic,CAF,"Life expectancy at birth, total (years)",49.255
Canada,CAN,"Life expectancy at birth, total (years)",81.2463414634146
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",75.2939657786314
Switzerland,CHE,"Life expectancy at birth, total (years)",82.2463414634147
Channel Islands,CHI,"Life expectancy at birth, total (years)",81.12
Chile,CHL,"Life expectancy at birth, total (years)",78.501
China,CHN,"Life expectancy at birth, total (years)",75.599
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",55.023
Cameroon,CMR,"Life expectancy at birth, total (years)",56.582
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",56.417
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",61.683
Colombia,COL,"Life expectancy at birth, total (years)",75.033
Comoros,COM,"Life expectancy at birth, total (years)",61.123
Cabo Verde,CPV,"Life expectancy at birth, total (years)",73.499
Costa Rica,CRI,"Life expectancy at birth, total (years)",78.67
Caribbean small states,CSS,"Life expectancy at birth, total (years)",72.028519789294
Cuba,CUB,"Life expectancy at birth, total (years)",77.661
Curacao,CUW,"Life expectancy at birth, total (years)",
Cayman Islands,CYM,"Life expectancy at birth, total (years)",82.190243902439
Cyprus,CYP,"Life expectancy at birth, total (years)",79.665
Czechia,CZE,"Life expectancy at birth, total (years)",77.4243902439025
Germany,DEU,"Life expectancy at birth, total (years)",79.9878048780488
Djibouti,DJI,"Life expectancy at birth, total (years)",60.259
Dominica,DMA,"Life expectancy at birth, total (years)",
Denmark,DNK,"Life expectancy at birth, total (years)",79.1
Dominican Republic,DOM,"Life expectancy at birth, total (years)",72.093
Algeria,DZA,"Life expectancy at birth, total (years)",73.808
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",73.8764618060214
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",67.8661031408664
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",74.7343153672567
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",70.7670247830119
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",75.9863401298776
Ecuador,ECU,"Life expectancy at birth, total (years)",75.43
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",69.664
Euro area,EMU,"Life expectancy at birth, total (years)",80.7475121757345
Eritrea,ERI,"Life expectancy at birth, total (years)",63.787
Spain,ESP,"Life expectancy at birth, total (years)",81.6268292682927
Estonia,EST,"Life expectancy at birth, total (years)",75.4292682926829
Ethiopia,ETH,"Life expectancy at birth, total (years)",59.73
European Union,EUU,"Life expectancy at birth, total (years)",79.6300337124674
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",59.3052898357327
Finland,FIN,"Life expectancy at birth, total (years)",79.8707317073171
Fiji,FJI,"Life expectancy at birth, total (years)",67.328
France,FRA,"Life expectancy at birth, total (years)",81.6634146341463
Faroe Islands,FRO,"Life expectancy at birth, total (years)",80.6878048780488
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",71.233
Gabon,GAB,"Life expectancy at birth, total (years)",63.898
United Kingdom,GBR,"Life expectancy at birth, total (years)",80.4024390243902
Georgia,GEO,"Life expectancy at birth, total (years)",72.128
Ghana,GHA,"Life expectancy at birth, total (years)",61.157
Gibraltar,GIB,"Life expectancy at birth, total (years)",80.958
Guinea,GIN,"Life expectancy at birth, total (years)",56.72
"Gambia, The",GMB,"Life expectancy at birth, total (years)",60.717
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",56.23
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",57.878
Greece,GRC,"Life expectancy at birth, total (years)",80.3878048780488
Grenada,GRD,"Life expectancy at birth, total (years)",74.999
Greenland,GRL,"Life expectancy at birth, total (years)",70.2919512195122
Guatemala,GTM,"Life expectancy at birth, total (years)",70.878
Guam,GUM,"Life expectancy at birth, total (years)",76.879
Guyana,GUY,"Life expectancy at birth, total (years)",66.743
High income,HIC,"Life expectancy at birth, total (years)",79.7666699670993
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",82.9780487804878
Honduras,HND,"Life expectancy at birth, total (years)",71.088
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",58.577688567925
Croatia,HRV,"Life expectancy at birth, total (years)",76.4756097560976
Haiti,HTI,"Life expectancy at birth, total (years)",46.019
Hungary,HUN,"Life expectancy at birth, total (years)",74.2073170731707
IBRD only,IBD,"Life expectancy at birth, total (years)",71.4605265444788
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",68.9002213996155
IDA total,IDA,"Life expectancy at birth, total (years)",60.7235020627334
IDA blend,IDB,"Life expectancy at birth, total (years)",59.0771611886403
Indonesia,IDN,"Life expectancy at birth, total (years)",68.679
IDA only,IDX,"Life expectancy at birth, total (years)",61.5710919512348
Isle of Man,IMN,"Life expectancy at birth, total (years)",78.983
India,IND,"Life expectancy at birth, total (years)",66.909
Not classified,INX,"Life expectancy at birth, total (years)",
Ireland,IRL,"Life expectancy at birth, total (years)",80.7439024390244
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",73.069
Iraq,IRQ,"Life expectancy at birth, total (years)",67.062
Iceland,ISL,"Life expectancy at birth, total (years)",81.8975609756097
Israel,ISR,"Life expectancy at birth, total (years)",81.6024390243903
Italy,ITA,"Life expectancy at birth, total (years)",82.0365853658537
Jamaica,JAM,"Life expectancy at birth, total (years)",72.622
Jordan,JOR,"Life expectancy at birth, total (years)",74.0
Japan,JPN,"Life expectancy at birth, total (years)",82.8426829268293
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",68.45
Kenya,KEN,"Life expectancy at birth, total (years)",60.649
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",69.3
Cambodia,KHM,"Life expectancy at birth, total (years)",67.712
Kiribati,KIR,"Life expectancy at birth, total (years)",65.016
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",
"Korea, Rep.",KOR,"Life expectancy at birth, total (years)",80.1170731707317
Kuwait,KWT,"Life expectancy at birth, total (years)",77.982
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",73.1708311791752
Lao PDR,LAO,"Life expectancy at birth, total (years)",63.973
Lebanon,LBN,"Life expectancy at birth, total (years)",78.156
Liberia,LBR,"Life expectancy at birth, total (years)",59.433
Libya,LBY,"Life expectancy at birth, total (years)",72.374
St. Lucia,LCA,"Life expectancy at birth, total (years)",72.72
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",73.3859267325602
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",60.966303977973
Low income,LIC,"Life expectancy at birth, total (years)",59.5920032932417
Liechtenstein,LIE,"Life expectancy at birth, total (years)",81.8414634146342
Sri Lanka,LKA,"Life expectancy at birth, total (years)",73.215
Lower middle income,LMC,"Life expectancy at birth, total (years)",66.2316810895531
Low & middle income,LMY,"Life expectancy at birth, total (years)",68.7976947560962
Lesotho,LSO,"Life expectancy at birth, total (years)",45.596
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",74.6153739804093
Lithuania,LTU,"Life expectancy at birth, total (years)",73.2682926829268
Luxembourg,LUX,"Life expectancy at birth, total (years)",80.6317073170732
Latvia,LVA,"Life expectancy at birth, total (years)",73.4829268292683
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",83.109
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",78.406
Morocco,MAR,"Life expectancy at birth, total (years)",70.829
Monaco,MCO,"Life expectancy at birth, total (years)",
Moldova,MDA,"Life expectancy at birth, total (years)",69.357
Madagascar,MDG,"Life expectancy at birth, total (years)",62.873
Maldives,MDV,"Life expectancy at birth, total (years)",77.657
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",72.1063833194012
Mexico,MEX,"Life expectancy at birth, total (years)",74.19
Marshall Islands,MHL,"Life expectancy at birth, total (years)",
Middle income,MIC,"Life expectancy at birth, total (years)",69.74001759309
North Macedonia,MKD,"Life expectancy at birth, total (years)",74.9975609756098
Mali,MLI,"Life expectancy at birth, total (years)",56.382
Malta,MLT,"Life expectancy at birth, total (years)",81.3975609756098
Myanmar,MMR,"Life expectancy at birth, total (years)",63.329
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",71.2768418587679
Montenegro,MNE,"Life expectancy at birth, total (years)",75.990243902439
Mongolia,MNG,"Life expectancy at birth, total (years)",67.182
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",
Mozambique,MOZ,"Life expectancy at birth, total (years)",54.198
Mauritania,MRT,"Life expectancy at birth, total (years)",63.105
Mauritius,MUS,"Life expectancy at birth, total (years)",72.9673170731707
Malawi,MWI,"Life expectancy at birth, total (years)",56.381
Malaysia,MYS,"Life expectancy at birth, total (years)",74.442
North America,NAC,"Life expectancy at birth, total (years)",78.8094555298644
Namibia,NAM,"Life expectancy at birth, total (years)",56.015
New Caledonia,NCL,"Life expectancy at birth, total (years)",77.2804878048781
Niger,NER,"Life expectancy at birth, total (years)",58.367
Nigeria,NGA,"Life expectancy at birth, total (years)",50.945
Nicaragua,NIC,"Life expectancy at birth, total (years)",72.009
Netherlands,NLD,"Life expectancy at birth, total (years)",80.7024390243902
Norway,NOR,"Life expectancy at birth, total (years)",80.9975609756098
Nepal,NPL,"Life expectancy at birth, total (years)",66.814
Nauru,NRU,"Life expectancy at birth, total (years)",
New Zealand,NZL,"Life expectancy at birth, total (years)",80.7024390243902
OECD members,OED,"Life expectancy at birth, total (years)",79.0898873608228
Oman,OMN,"Life expectancy at birth, total (years)",76.269
Other small states,OSS,"Life expectancy at birth, total (years)",64.5529603710142
Pakistan,PAK,"Life expectancy at birth, total (years)",64.436
Panama,PAN,"Life expectancy at birth, total (years)",76.448
Peru,PER,"Life expectancy at birth, total (years)",73.711
Philippines,PHL,"Life expectancy at birth, total (years)",70.754
Palau,PLW,"Life expectancy at birth, total (years)",
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",63.039
Poland,POL,"Life expectancy at birth, total (years)",76.2463414634146
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",56.8119682833244
Puerto Rico,PRI,"Life expectancy at birth, total (years)",78.01
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",70.419
Portugal,PRT,"Life expectancy at birth, total (years)",79.0268292682927
Paraguay,PRY,"Life expectancy at birth, total (years)",71.887
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",73.004
Pacific island small states,PSS,"Life expectancy at birth, total (years)",68.5605375630181
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",79.6819722105754
French Polynesia,PYF,"Life expectancy at birth, total (years)",81.039
Qatar,QAT,"Life expectancy at birth, total (years)",78.425
Romania,ROU,"Life expectancy at birth, total (years)",73.4585365853659
Russian Federation,RUS,"Life expectancy at birth, total (years)",68.8412195121951
Rwanda,RWA,"Life expectancy at birth, total (years)",62.54
South Asia,SAS,"Life expectancy at birth, total (years)",66.7494102268344
Saudi Arabia,SAU,"Life expectancy at birth, total (years)",75.763
Sudan,SDN,"Life expectancy at birth, total (years)",63.016
Senegal,SEN,"Life expectancy at birth, total (years)",64.615
Singapore,SGP,"Life expectancy at birth, total (years)",81.5414634146342
Solomon Islands,SLB,"Life expectancy at birth, total (years)",68.732
Sierra Leone,SLE,"Life expectancy at birth, total (years)",53.693
El Salvador,SLV,"Life expectancy at birth, total (years)",71.848
San Marino,SMR,"Life expectancy at birth, total (years)",
Somalia,SOM,"Life expectancy at birth, total (years)",50.563
Serbia,SRB,"Life expectancy at birth, total (years)",74.3365853658537
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",56.8456972290726
South Sudan,SSD,"Life expectancy at birth, total (years)",54.812
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",56.8473656890804
Small states,SST,"Life expectancy at birth, total (years)",66.2472407202709
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",65.249
Suriname,SUR,"Life expectancy at birth, total (years)",69.894
Slovak Republic,SVK,"Life expectancy at birth, total (years)",75.1121951219512
Slovenia,SVN,"Life expectancy at birth, total (years)",79.4219512195122
Sweden,SWE,"Life expectancy at birth, total (years)",81.4512195121951
Eswatini,SWZ,"Life expectancy at birth, total (years)",46.619
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",
Seychelles,SYC,"Life expectancy at birth, total (years)",73.1975609756098
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",73.881
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",76.243
Chad,TCD,"Life expectancy at birth, total (years)",49.584
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",73.9203576886284
Europe & Central Asia (IDA & IBRD countries),TEC,"Life expectancy at birth, total (years)",71.4178120547347
Togo,TGO,"Life expectancy at birth, total (years)",57.304
Thailand,THA,"Life expectancy at birth, total (years)",76.131
Tajikistan,TJK,"Life expectancy at birth, total (years)",67.742
Turkmenistan,TKM,"Life expectancy at birth, total (years)",68.293
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",73.2682815845748
Timor-Leste,TLS,"Life expectancy at birth, total (years)",65.304
Middle East & North Africa (IDA & IBRD countries),TMN,"Life expectancy at birth, total (years)",71.2575818425093
Tonga,TON,"Life expectancy at birth, total (years)",70.323
South Asia (IDA & IBRD),TSA,"Life expectancy at birth, total (years)",66.7494102268344
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Life expectancy at birth, total (years)",56.8473656890804
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",72.725
Tunisia,TUN,"Life expectancy at birth, total (years)",75.421
Turkiye,TUR,"Life expectancy at birth, total (years)",75.069
Tuvalu,TUV,"Life expectancy at birth, total (years)",63.978
Tanzania,TZA,"Life expectancy at birth, total (years)",60.105
Uganda,UGA,"Life expectancy at birth, total (years)",57.055
Ukraine,UKR,"Life expectancy at birth, total (years)",70.2653658536586
Upper middle income,UMC,"Life expectancy at birth, total (years)",74.1292304363598
Uruguay,URY,"Life expectancy at birth, total (years)",76.858
United States,USA,"Life expectancy at birth, total (years)",78.5414634146342
Uzbekistan,UZB,"Life expectancy at birth, total (years)",69.235
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",74.718
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",72.89
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",75.428
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",77.8658536585366
Vietnam,VNM,"Life expectancy at birth, total (years)",73.513
Vanuatu,VUT,"Life expectancy at birth, total (years)",69.617
World,WLD,"Life expectancy at birth, total (years)",70.6706171214748
Samoa,WSM,"Life expectancy at birth, total (years)",72.249
Kosovo,XKX,"Life expectancy at birth, total (years)",77.63
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",67.28
South Africa,ZAF,"Life expectancy at birth, total (years)",58.899
Zambia,ZMB,"Life expectancy at birth, total (years)",56.799
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",50.652
